CourseCode,TeacherId,ReportedHours,AssignedHours,CompKey
I-57,19640220-0029,233.0,240.0,TEAS_I-57_19640220-0029
I-57,19780602-0035,155.0,140.0,TEAS_I-57_19780602-0035
I-58,19561222-0030,271.0,260.0,TEAS_I-58_19561222-0030
I-58,19790426-0049,158.0,140.0,TEAS_I-58_19790426-0049
I-59,19630126-0001,231.0,240.0,TEAS_I-59_19630126-0001
I-59,19780815-0047,96.0,100.0,TEAS_I-59_19780815-0047
I-59,19920505-0115,129.0,140.0,TEAS_I-59_19920505-0115
I-60,19600529-0021,252.0,240.0,TEAS_I-60_19600529-0021
I-60,19761020-0044,144.0,140.0,TEAS_I-60_19761020-0044
I-61,19610918-0027,275.0,260.0,TEAS_I-61_19610918-0027
I-61,19750331-0036,154.0,140.0,TEAS_I-61_19750331-0036
I-62,19650303-0019,224.0,240.0,TEAS_I-62_19650303-0019
I-62,19790618-0048,137.0,140.0,TEAS_I-62_19790618-0048
I-62,19930709-0100,108.0,100.0,TEAS_I-62_19930709-0100
I-63,19640414-0013,248.0,240.0,TEAS_I-63_19640414-0013
I-63,19770713-0042,131.0,120.0,TEAS_I-63_19770713-0042
I-64,19690408-0009,261.0,280.0,TEAS_I-64_19690408-0009
I-64,19761009-0055,137.0,120.0,TEAS_I-64_19761009-0055
I-65,19560812-0016,242.0,240.0,TEAS_I-65_19560812-0016
I-65,19781130-0054,120.0,120.0,TEAS_I-65_19781130-0054
I-66,19620424-0026,283.0,280.0,TEAS_I-66_19620424-0026
I-66,19790702-0038,124.0,120.0,TEAS_I-66_19790702-0038
I-67,19620831-0024,274.0,280.0,TEAS_I-67_19620831-0024
I-67,19761009-0055,127.0,140.0,TEAS_I-67_19761009-0055
I-68,19610918-0027,256.0,240.0,TEAS_I-68_19610918-0027
I-68,19760108-0050,120.0,100.0,TEAS_I-68_19760108-0050
I-69,19610918-0027,246.0,240.0,TEAS_I-69_19610918-0027
I-69,19790717-0045,115.0,100.0,TEAS_I-69_19790717-0045
I-69,19930829-0082,101.0,100.0,TEAS_I-69_19930829-0082
I-70,19600529-0021,271.0,260.0,TEAS_I-70_19600529-0021
I-70,19781125-0031,91.0,100.0,TEAS_I-70_19781125-0031
I-70,19900520-0063,133.0,140.0,TEAS_I-70_19900520-0063
I-71,19601021-0018,260.0,280.0,TEAS_I-71_19601021-0018
I-71,19761024-0034,106.0,120.0,TEAS_I-71_19761024-0034
I-71,19900909-0123,117.0,100.0,TEAS_I-71_19900909-0123
I-72,19610918-0027,246.0,240.0,TEAS_I-72_19610918-0027
I-72,19760108-0050,121.0,120.0,TEAS_I-72_19760108-0050
I-72,19920602-0073,100.0,120.0,TEAS_I-72_19920602-0073
I-73,19690513-0015,295.0,280.0,TEAS_I-73_19690513-0015
I-73,19790426-0049,141.0,140.0,TEAS_I-73_19790426-0049
I-73,19920320-0121,158.0,140.0,TEAS_I-73_19920320-0121
I-74,19561222-0030,269.0,260.0,TEAS_I-74_19561222-0030
I-74,19750331-0036,147.0,140.0,TEAS_I-74_19750331-0036
I-74,19930829-0082,131.0,140.0,TEAS_I-74_19930829-0082
I-75,19620424-0026,281.0,280.0,TEAS_I-75_19620424-0026
I-75,19760524-0046,117.0,120.0,TEAS_I-75_19760524-0046
I-75,19920828-0070,84.0,100.0,TEAS_I-75_19920828-0070
I-76,19580218-0007,265.0,280.0,TEAS_I-76_19580218-0007
I-76,19761009-0055,97.0,100.0,TEAS_I-76_19761009-0055
I-76,19911025-0091,131.0,140.0,TEAS_I-76_19911025-0091
I-77,19660630-0020,251.0,240.0,TEAS_I-77_19660630-0020
I-77,19781130-0054,113.0,100.0,TEAS_I-77_19781130-0054
I-78,19560812-0016,282.0,280.0,TEAS_I-78_19560812-0016
I-78,19750512-0043,136.0,140.0,TEAS_I-78_19750512-0043
I-79,19640220-0029,254.0,240.0,TEAS_I-79_19640220-0029
I-79,19770713-0042,140.0,120.0,TEAS_I-79_19770713-0042
I-80,19580218-0007,296.0,280.0,TEAS_I-80_19580218-0007
I-80,19750722-0060,100.0,120.0,TEAS_I-80_19750722-0060
I-81,19561222-0030,295.0,280.0,TEAS_I-81_19561222-0030
I-81,19770713-0042,133.0,120.0,TEAS_I-81_19770713-0042
I-82,19560705-0025,278.0,260.0,TEAS_I-82_19560705-0025
I-82,19771013-0040,137.0,140.0,TEAS_I-82_19771013-0040
I-82,19920320-0121,101.0,100.0,TEAS_I-82_19920320-0121
I-83,19610620-0006,248.0,260.0,TEAS_I-83_19610620-0006
I-83,19780602-0035,133.0,140.0,TEAS_I-83_19780602-0035
I-83,19911025-0091,102.0,120.0,TEAS_I-83_19911025-0091
I-84,19660630-0020,277.0,260.0,TEAS_I-84_19660630-0020
I-84,19750122-0056,99.0,100.0,TEAS_I-84_19750122-0056
I-85,19560705-0025,258.0,260.0,TEAS_I-85_19560705-0025
I-85,19790702-0038,139.0,140.0,TEAS_I-85_19790702-0038
I-85,19910927-0128,126.0,120.0,TEAS_I-85_19910927-0128
I-86,19570615-0011,260.0,240.0,TEAS_I-86_19570615-0011
I-86,19780815-0047,145.0,140.0,TEAS_I-86_19780815-0047
I-87,19610918-0027,264.0,280.0,TEAS_I-87_19610918-0027
I-87,19780424-0057,133.0,120.0,TEAS_I-87_19780424-0057
I-88,19600905-0003,265.0,280.0,TEAS_I-88_19600905-0003
I-88,19751018-0039,108.0,120.0,TEAS_I-88_19751018-0039
I-88,19931231-0099,153.0,140.0,TEAS_I-88_19931231-0099
I-89,19620522-0023,246.0,260.0,TEAS_I-89_19620522-0023
I-89,19761024-0034,124.0,120.0,TEAS_I-89_19761024-0034
I-89,19930829-0082,128.0,120.0,TEAS_I-89_19930829-0082
I-90,19620831-0024,290.0,280.0,TEAS_I-90_19620831-0024
I-90,19780815-0047,123.0,140.0,TEAS_I-90_19780815-0047
I-90,19910206-0081,131.0,120.0,TEAS_I-90_19910206-0081
I-91,19680712-0028,248.0,240.0,TEAS_I-91_19680712-0028
I-91,19780424-0057,109.0,100.0,TEAS_I-91_19780424-0057
I-91,19900520-0063,126.0,120.0,TEAS_I-91_19900520-0063
I-92,19640220-0029,266.0,260.0,TEAS_I-92_19640220-0029
I-92,19781217-0053,123.0,120.0,TEAS_I-92_19781217-0053
I-93,19580515-0017,250.0,260.0,TEAS_I-93_19580515-0017
I-93,19761020-0044,81.0,100.0,TEAS_I-93_19761020-0044
I-94,19630126-0001,276.0,280.0,TEAS_I-94_19630126-0001
I-94,19790708-0041,116.0,120.0,TEAS_I-94_19790708-0041
I-94,19900317-0083,122.0,140.0,TEAS_I-94_19900317-0083
I-95,19690513-0015,230.0,240.0,TEAS_I-95_19690513-0015
I-95,19751018-0039,150.0,140.0,TEAS_I-95_19751018-0039
I-95,19901002-0085,98.0,100.0,TEAS_I-95_19901002-0085
I-96,19560812-0016,277.0,260.0,TEAS_I-96_19560812-0016
I-96,19780317-0052,132.0,140.0,TEAS_I-96_19780317-0052
I-96,19900317-0083,125.0,140.0,TEAS_I-96_19900317-0083
I-97,19640414-0013,296.0,280.0,TEAS_I-97_19640414-0013
I-97,19750906-0032,113.0,120.0,TEAS_I-97_19750906-0032
I-97,19930508-0061,107.0,100.0,TEAS_I-97_19930508-0061
I-98,19650303-0019,242.0,240.0,TEAS_I-98_19650303-0019
I-98,19750417-0051,93.0,100.0,TEAS_I-98_19750417-0051
I-99,19580218-0007,295.0,280.0,TEAS_I-99_19580218-0007
I-99,19750906-0032,139.0,140.0,TEAS_I-99_19750906-0032
I-100,19680712-0028,260.0,240.0,TEAS_I-100_19680712-0028
I-100,19750331-0036,111.0,100.0,TEAS_I-100_19750331-0036
I-101,19580218-0007,286.0,280.0,TEAS_I-101_19580218-0007
I-101,19780602-0035,130.0,120.0,TEAS_I-101_19780602-0035
I-101,19930326-0132,132.0,120.0,TEAS_I-101_19930326-0132
I-102,19570615-0011,237.0,240.0,TEAS_I-102_19570615-0011
I-102,19770713-0042,96.0,100.0,TEAS_I-102_19770713-0042
I-103,19650303-0019,259.0,260.0,TEAS_I-103_19650303-0019
I-103,19760108-0050,112.0,120.0,TEAS_I-103_19760108-0050
I-103,19930919-0137,103.0,100.0,TEAS_I-103_19930919-0137
I-104,19650303-0019,282.0,280.0,TEAS_I-104_19650303-0019
I-104,19751018-0039,157.0,140.0,TEAS_I-104_19751018-0039
I-104,19921218-0101,110.0,120.0,TEAS_I-104_19921218-0101
I-105,19650303-0019,264.0,260.0,TEAS_I-105_19650303-0019
I-105,19761009-0055,110.0,120.0,TEAS_I-105_19761009-0055
I-106,19610918-0027,276.0,280.0,TEAS_I-106_19610918-0027
I-106,19790426-0049,97.0,100.0,TEAS_I-106_19790426-0049
I-106,19920122-0065,100.0,100.0,TEAS_I-106_19920122-0065
I-107,19600529-0021,265.0,260.0,TEAS_I-107_19600529-0021
I-107,19750331-0036,121.0,120.0,TEAS_I-107_19750331-0036
I-108,19590129-0004,244.0,240.0,TEAS_I-108_19590129-0004
I-108,19761009-0055,95.0,100.0,TEAS_I-108_19761009-0055
I-109,19570826-0012,277.0,260.0,TEAS_I-109_19570826-0012
I-109,19790717-0045,135.0,140.0,TEAS_I-109_19790717-0045
I-110,19570828-0008,278.0,260.0,TEAS_I-110_19570828-0008
I-110,19750417-0051,124.0,140.0,TEAS_I-110_19750417-0051
I-110,19920122-0065,91.0,100.0,TEAS_I-110_19920122-0065
I-111,19600529-0021,292.0,280.0,TEAS_I-111_19600529-0021
I-111,19750512-0043,148.0,140.0,TEAS_I-111_19750512-0043
I-111,19900616-0124,101.0,120.0,TEAS_I-111_19900616-0124
I-112,19561222-0030,263.0,260.0,TEAS_I-112_19561222-0030
I-112,19750417-0051,157.0,140.0,TEAS_I-112_19750417-0051
I-112,19910404-0102,136.0,140.0,TEAS_I-112_19910404-0102
I-113,19690917-0022,248.0,260.0,TEAS_I-113_19690917-0022
I-113,19760524-0046,88.0,100.0,TEAS_I-113_19760524-0046
I-114,19620522-0023,240.0,260.0,TEAS_I-114_19620522-0023
I-114,19760524-0046,123.0,140.0,TEAS_I-114_19760524-0046
I-115,19640414-0013,261.0,260.0,TEAS_I-115_19640414-0013
I-115,19770224-0058,126.0,120.0,TEAS_I-115_19770224-0058
I-115,19900511-0134,120.0,120.0,TEAS_I-115_19900511-0134
I-116,19560812-0016,278.0,260.0,TEAS_I-116_19560812-0016
I-116,19781217-0053,101.0,120.0,TEAS_I-116_19781217-0053
I-117,19601021-0018,290.0,280.0,TEAS_I-117_19601021-0018
I-117,19781217-0053,93.0,100.0,TEAS_I-117_19781217-0053
I-117,19921127-0120,82.0,100.0,TEAS_I-117_19921127-0120
I-118,19611219-0014,262.0,280.0,TEAS_I-118_19611219-0014
I-118,19790426-0049,113.0,100.0,TEAS_I-118_19790426-0049
I-118,19921123-0108,139.0,120.0,TEAS_I-118_19921123-0108
I-119,19610623-0005,262.0,260.0,TEAS_I-119_19610623-0005
I-119,19780317-0052,119.0,100.0,TEAS_I-119_19780317-0052
I-119,19930919-0137,159.0,140.0,TEAS_I-119_19930919-0137
I-120,19690513-0015,248.0,240.0,TEAS_I-120_19690513-0015
I-120,19781217-0053,100.0,100.0,TEAS_I-120_19781217-0053
I-121,19640220-0029,282.0,280.0,TEAS_I-121_19640220-0029
I-121,19780317-0052,122.0,120.0,TEAS_I-121_19780317-0052
I-121,19920826-0088,122.0,120.0,TEAS_I-121_19920826-0088
I-122,19690917-0022,254.0,260.0,TEAS_I-122_19690917-0022
I-122,19790702-0038,121.0,140.0,TEAS_I-122_19790702-0038
I-122,19920316-0107,123.0,120.0,TEAS_I-122_19920316-0107
I-123,19660630-0020,247.0,260.0,TEAS_I-123_19660630-0020
I-123,19790702-0038,121.0,140.0,TEAS_I-123_19790702-0038
I-124,19580218-0007,297.0,280.0,TEAS_I-124_19580218-0007
I-124,19760524-0046,123.0,140.0,TEAS_I-124_19760524-0046
I-124,19930228-0086,94.0,100.0,TEAS_I-124_19930228-0086
I-125,19561222-0030,226.0,240.0,TEAS_I-125_19561222-0030
I-125,19750906-0032,104.0,100.0,TEAS_I-125_19750906-0032
I-125,19921208-0097,151.0,140.0,TEAS_I-125_19921208-0097
I-126,19570828-0008,260.0,260.0,TEAS_I-126_19570828-0008
I-126,19781130-0054,151.0,140.0,TEAS_I-126_19781130-0054
I-126,19900128-0095,134.0,120.0,TEAS_I-126_19900128-0095
I-127,19590129-0004,246.0,240.0,TEAS_I-127_19590129-0004
I-127,19761020-0044,86.0,100.0,TEAS_I-127_19761020-0044
I-128,19570826-0012,275.0,280.0,TEAS_I-128_19570826-0012
I-128,19780424-0057,123.0,140.0,TEAS_I-128_19780424-0057
I-128,19901219-0125,104.0,120.0,TEAS_I-128_19901219-0125
I-129,19560812-0016,282.0,280.0,TEAS_I-129_19560812-0016
I-129,19770713-0042,89.0,100.0,TEAS_I-129_19770713-0042
I-129,19931118-0062,129.0,120.0,TEAS_I-129_19931118-0062
I-130,19610623-0005,277.0,260.0,TEAS_I-130_19610623-0005
I-130,19790618-0048,128.0,120.0,TEAS_I-130_19790618-0048
I-131,19640414-0013,270.0,280.0,TEAS_I-131_19640414-0013
I-131,19790708-0041,84.0,100.0,TEAS_I-131_19790708-0041
I-131,19921208-0097,147.0,140.0,TEAS_I-131_19921208-0097
I-132,19560812-0016,252.0,260.0,TEAS_I-132_19560812-0016
I-132,19770713-0042,101.0,120.0,TEAS_I-132_19770713-0042
I-132,19910514-0068,98.0,100.0,TEAS_I-132_19910514-0068
I-133,19570826-0012,243.0,240.0,TEAS_I-133_19570826-0012
I-133,19760108-0050,156.0,140.0,TEAS_I-133_19760108-0050
I-133,19930228-0086,135.0,140.0,TEAS_I-133_19930228-0086
I-134,19650303-0019,279.0,260.0,TEAS_I-134_19650303-0019
I-134,19771013-0040,109.0,100.0,TEAS_I-134_19771013-0040
I-134,19910822-0122,134.0,120.0,TEAS_I-134_19910822-0122
I-135,19690513-0015,222.0,240.0,TEAS_I-135_19690513-0015
I-135,19780317-0052,124.0,120.0,TEAS_I-135_19780317-0052
I-135,19900723-0126,113.0,100.0,TEAS_I-135_19900723-0126
I-136,19650303-0019,249.0,260.0,TEAS_I-136_19650303-0019
I-136,19750417-0051,106.0,100.0,TEAS_I-136_19750417-0051
I-137,19690917-0022,261.0,260.0,TEAS_I-137_19690917-0022
I-137,19781130-0054,125.0,140.0,TEAS_I-137_19781130-0054
I-138,19610623-0005,298.0,280.0,TEAS_I-138_19610623-0005
I-138,19760108-0050,85.0,100.0,TEAS_I-138_19760108-0050
I-139,19560812-0016,274.0,280.0,TEAS_I-139_19560812-0016
I-139,19780602-0035,102.0,100.0,TEAS_I-139_19780602-0035
I-140,19560812-0016,224.0,240.0,TEAS_I-140_19560812-0016
I-140,19780317-0052,88.0,100.0,TEAS_I-140_19780317-0052
I-141,19640414-0013,243.0,240.0,TEAS_I-141_19640414-0013
I-141,19750331-0036,86.0,100.0,TEAS_I-141_19750331-0036
I-141,19931226-0118,90.0,100.0,TEAS_I-141_19931226-0118
I-142,19590129-0004,220.0,240.0,TEAS_I-142_19590129-0004
I-142,19760108-0050,83.0,100.0,TEAS_I-142_19760108-0050
I-143,19650303-0019,220.0,240.0,TEAS_I-143_19650303-0019
I-143,19750906-0032,91.0,100.0,TEAS_I-143_19750906-0032
I-144,19660630-0020,273.0,280.0,TEAS_I-144_19660630-0020
I-144,19750705-0033,103.0,100.0,TEAS_I-144_19750705-0033
I-145,19600529-0021,222.0,240.0,TEAS_I-145_19600529-0021
I-145,19750906-0032,95.0,100.0,TEAS_I-145_19750906-0032
I-146,19580218-0007,244.0,260.0,TEAS_I-146_19580218-0007
I-146,19780424-0057,102.0,100.0,TEAS_I-146_19780424-0057
I-147,19560812-0016,255.0,240.0,TEAS_I-147_19560812-0016
I-147,19750331-0036,106.0,100.0,TEAS_I-147_19750331-0036
I-147,19920226-0075,126.0,140.0,TEAS_I-147_19920226-0075
I-148,19640414-0013,284.0,280.0,TEAS_I-148_19640414-0013
I-148,19790426-0049,144.0,140.0,TEAS_I-148_19790426-0049
I-148,19910514-0068,120.0,140.0,TEAS_I-148_19910514-0068
I-149,19610623-0005,263.0,280.0,TEAS_I-149_19610623-0005
I-149,19750512-0043,154.0,140.0,TEAS_I-149_19750512-0043
I-150,19561222-0030,275.0,260.0,TEAS_I-150_19561222-0030
I-150,19750122-0056,89.0,100.0,TEAS_I-150_19750122-0056
I-151,19680712-0028,248.0,260.0,TEAS_I-151_19680712-0028
I-151,19751018-0039,94.0,100.0,TEAS_I-151_19751018-0039
I-152,19611219-0014,292.0,280.0,TEAS_I-152_19611219-0014
I-152,19780317-0052,131.0,120.0,TEAS_I-152_19780317-0052
I-152,19920504-0093,111.0,120.0,TEAS_I-152_19920504-0093
I-153,19580515-0017,252.0,260.0,TEAS_I-153_19580515-0017
I-153,19750705-0033,135.0,140.0,TEAS_I-153_19750705-0033
I-154,19610620-0006,250.0,260.0,TEAS_I-154_19610620-0006
I-154,19761009-0055,112.0,100.0,TEAS_I-154_19761009-0055
I-154,19910101-0133,150.0,140.0,TEAS_I-154_19910101-0133
I-155,19570826-0012,285.0,280.0,TEAS_I-155_19570826-0012
I-155,19790702-0038,159.0,140.0,TEAS_I-155_19790702-0038
I-155,19910927-0128,126.0,140.0,TEAS_I-155_19910927-0128
I-156,19600814-0002,255.0,260.0,TEAS_I-156_19600814-0002
I-156,19761024-0034,85.0,100.0,TEAS_I-156_19761024-0034
I-156,19910421-0067,134.0,140.0,TEAS_I-156_19910421-0067
I-157,19560612-0010,293.0,280.0,TEAS_I-157_19560612-0010
I-157,19750417-0051,103.0,120.0,TEAS_I-157_19750417-0051
I-158,19570615-0011,225.0,240.0,TEAS_I-158_19570615-0011
I-158,19750906-0032,158.0,140.0,TEAS_I-158_19750906-0032
I-159,19580218-0007,279.0,260.0,TEAS_I-159_19580218-0007
I-159,19790618-0048,121.0,140.0,TEAS_I-159_19790618-0048
I-159,19931203-0066,123.0,120.0,TEAS_I-159_19931203-0066
I-160,19570615-0011,260.0,240.0,TEAS_I-160_19570615-0011
