CourseInstance,StudentId,Status,Grade,CompKey22
I-1181,19850527-0011,completed,3.0,R_I-1181_19850527-0011
I-865,19850527-0011,completed,5.0,R_I-865_19850527-0011
I-1183,19850527-0011,completed,4.0,R_I-1183_19850527-0011
I-1185,19850527-0011,completed,3.0,R_I-1185_19850527-0011
I-230,19850527-0011,completed,3.0,R_I-230_19850527-0011
I-759,19850527-0011,completed,3.0,R_I-759_19850527-0011
I-545,19850527-0011,completed,3.0,R_I-545_19850527-0011
I-1188,19850527-0011,completed,3.0,R_I-1188_19850527-0011
I-2756,19891217-0012,completed,4.0,R_I-2756_19891217-0012
I-1495,19891217-0012,completed,3.0,R_I-1495_19891217-0012
I-3077,19891217-0012,completed,3.0,R_I-3077_19891217-0012
I-4633,19891217-0012,completed,4.0,R_I-4633_19891217-0012
I-5277,19891217-0012,completed,4.0,R_I-5277_19891217-0012
I-3175,19891217-0012,completed,5.0,R_I-3175_19891217-0012
I-4964,19891217-0012,completed,3.0,R_I-4964_19891217-0012
I-3179,19891217-0012,completed,4.0,R_I-3179_19891217-0012
I-3288,19891217-0012,completed,3.0,R_I-3288_19891217-0012
I-5396,19891217-0012,completed,5.0,R_I-5396_19891217-0012
I-2253,19891217-0012,completed,5.0,R_I-2253_19891217-0012
I-3291,19891217-0012,completed,4.0,R_I-3291_19891217-0012
I-423,19861017-0014,completed,5.0,R_I-423_19861017-0014
I-424,19861017-0014,completed,3.0,R_I-424_19861017-0014
I-427,19861017-0014,completed,4.0,R_I-427_19861017-0014
I-5488,19861017-0014,completed,4.0,R_I-5488_19861017-0014
I-2654,19861017-0014,completed,3.0,R_I-2654_19861017-0014
I-541,19861017-0014,completed,3.0,R_I-541_19861017-0014
I-540,19861017-0014,completed,5.0,R_I-540_19861017-0014
I-542,19861017-0014,completed,5.0,R_I-542_19861017-0014
I-5150,19870714-0017,completed,5.0,R_I-5150_19870714-0017
I-4730,19870714-0017,completed,5.0,R_I-4730_19870714-0017
I-2638,19870714-0017,completed,4.0,R_I-2638_19870714-0017
I-1065,19870714-0017,completed,5.0,R_I-1065_19870714-0017
I-1394,19870714-0017,completed,5.0,R_I-1394_19870714-0017
I-1284,19870714-0017,completed,3.0,R_I-1284_19870714-0017
I-5059,19870714-0017,completed,5.0,R_I-5059_19870714-0017
I-759,19870714-0017,completed,3.0,R_I-759_19870714-0017
I-4405,19850426-0018,completed,3.0,R_I-4405_19850426-0018
I-4839,19850426-0018,completed,3.0,R_I-4839_19850426-0018
I-4409,19850426-0018,completed,4.0,R_I-4409_19850426-0018
I-4407,19850426-0018,completed,3.0,R_I-4407_19850426-0018
I-2339,19850426-0018,completed,5.0,R_I-2339_19850426-0018
I-4410,19850426-0018,completed,4.0,R_I-4410_19850426-0018
I-3881,19850426-0018,completed,3.0,R_I-3881_19850426-0018
I-2335,19850426-0018,completed,5.0,R_I-2335_19850426-0018
I-4522,19850426-0018,completed,4.0,R_I-4522_19850426-0018
I-5056,19850426-0018,completed,5.0,R_I-5056_19850426-0018
I-3372,19850426-0018,completed,5.0,R_I-3372_19850426-0018
I-4215,19850426-0018,completed,5.0,R_I-4215_19850426-0018
I-4511,19870816-0019,completed,5.0,R_I-4511_19870816-0019
I-4515,19870816-0019,completed,3.0,R_I-4515_19870816-0019
I-4512,19870816-0019,completed,4.0,R_I-4512_19870816-0019
I-3060,19870816-0019,completed,4.0,R_I-3060_19870816-0019
I-5263,19880404-0020,completed,3.0,R_I-5263_19880404-0020
I-2131,19880404-0020,completed,4.0,R_I-2131_19880404-0020
I-5267,19880404-0020,completed,3.0,R_I-5267_19880404-0020
I-5268,19880404-0020,completed,3.0,R_I-5268_19880404-0020
I-876,19880404-0020,completed,3.0,R_I-876_19880404-0020
I-3896,19880404-0020,completed,3.0,R_I-3896_19880404-0020
I-5381,19880404-0020,completed,4.0,R_I-5381_19880404-0020
I-5387,19880404-0020,completed,3.0,R_I-5387_19880404-0020
I-543,19891130-0023,completed,5.0,R_I-543_19891130-0023
I-4629,19891130-0023,completed,5.0,R_I-4629_19891130-0023
I-4630,19891130-0023,completed,4.0,R_I-4630_19891130-0023
I-4631,19891130-0023,completed,5.0,R_I-4631_19891130-0023
I-5069,19891130-0023,completed,3.0,R_I-5069_19891130-0023
I-4748,19891130-0023,completed,5.0,R_I-4748_19891130-0023
I-4753,19891130-0023,completed,4.0,R_I-4753_19891130-0023
I-4747,19891130-0023,completed,5.0,R_I-4747_19891130-0023
I-27,19891130-0023,completed,3.0,R_I-27_19891130-0023
I-4751,19891130-0023,completed,5.0,R_I-4751_19891130-0023
I-4125,19891130-0023,completed,5.0,R_I-4125_19891130-0023
I-4863,19891130-0023,completed,5.0,R_I-4863_19891130-0023
I-3905,19891130-0023,completed,3.0,R_I-3905_19891130-0023
I-5077,19891130-0023,completed,3.0,R_I-5077_19891130-0023
I-5150,19860208-0024,completed,3.0,R_I-5150_19860208-0024
I-5151,19860208-0024,completed,3.0,R_I-5151_19860208-0024
I-5154,19860208-0024,completed,4.0,R_I-5154_19860208-0024
I-2642,19860208-0024,completed,3.0,R_I-2642_19860208-0024
I-3999,19851213-0025,completed,4.0,R_I-3999_19851213-0025
I-4633,19851213-0025,completed,5.0,R_I-4633_19851213-0025
I-2969,19851213-0025,completed,3.0,R_I-2969_19851213-0025
I-1809,19851213-0025,completed,5.0,R_I-1809_19851213-0025
I-4425,19851213-0025,completed,4.0,R_I-4425_19851213-0025
I-4859,19851213-0025,completed,4.0,R_I-4859_19851213-0025
I-3690,19851213-0025,completed,3.0,R_I-3690_19851213-0025
I-5386,19851213-0025,completed,3.0,R_I-5386_19851213-0025
I-4541,19851213-0025,completed,3.0,R_I-4541_19851213-0025
I-4543,19851213-0025,completed,4.0,R_I-4543_19851213-0025
I-246,19851213-0025,completed,3.0,R_I-246_19851213-0025
I-5079,19851213-0025,completed,4.0,R_I-5079_19851213-0025
I-428,19870512-0028,completed,5.0,R_I-428_19870512-0028
I-317,19870512-0028,completed,4.0,R_I-317_19870512-0028
I-3063,19870512-0028,completed,3.0,R_I-3063_19870512-0028
I-3370,19870512-0028,completed,4.0,R_I-3370_19870512-0028
I-3477,19870512-0028,completed,3.0,R_I-3477_19870512-0028
I-3479,19870512-0028,completed,5.0,R_I-3479_19870512-0028
I-3790,19870512-0028,completed,3.0,R_I-3790_19870512-0028
I-3483,19870512-0028,completed,5.0,R_I-3483_19870512-0028
I-4955,19870215-0031,completed,4.0,R_I-4955_19870215-0031
I-3280,19870215-0031,completed,3.0,R_I-3280_19870215-0031
I-5066,19870215-0031,completed,3.0,R_I-5066_19870215-0031
I-4960,19870215-0031,completed,3.0,R_I-4960_19870215-0031
I-4963,19870215-0031,completed,4.0,R_I-4963_19870215-0031
I-3177,19870215-0031,completed,4.0,R_I-3177_19870215-0031
I-4958,19870215-0031,completed,5.0,R_I-4958_19870215-0031
I-441,19870215-0031,completed,3.0,R_I-441_19870215-0031
I-2450,19870215-0031,completed,4.0,R_I-2450_19870215-0031
I-345,19870215-0031,completed,5.0,R_I-345_19870215-0031
I-4868,19870215-0031,completed,3.0,R_I-4868_19870215-0031
I-5074,19870215-0031,completed,5.0,R_I-5074_19870215-0031
I-5075,19870215-0031,completed,4.0,R_I-5075_19870215-0031
I-4137,19870215-0031,completed,5.0,R_I-4137_19870215-0031
I-5189,19870215-0031,completed,5.0,R_I-5189_19870215-0031
I-52,19870215-0031,completed,5.0,R_I-52_19870215-0031
I-3400,19870215-0031,completed,4.0,R_I-3400_19870215-0031
I-4210,19881204-0033,completed,4.0,R_I-4210_19881204-0033
I-2649,19881204-0033,completed,5.0,R_I-2649_19881204-0033
I-2646,19881204-0033,completed,3.0,R_I-2646_19881204-0033
I-2445,19881204-0033,completed,3.0,R_I-2445_19881204-0033
I-5388,19881204-0033,completed,4.0,R_I-5388_19881204-0033
I-2765,19881204-0033,completed,5.0,R_I-2765_19881204-0033
I-3183,19881204-0033,completed,5.0,R_I-3183_19881204-0033
I-2356,19881204-0033,completed,3.0,R_I-2356_19881204-0033
I-2764,19881204-0033,completed,3.0,R_I-2764_19881204-0033
I-2772,19881204-0033,completed,4.0,R_I-2772_19881204-0033
I-3795,19881204-0033,completed,4.0,R_I-3795_19881204-0033
I-1610,19881204-0033,completed,5.0,R_I-1610_19881204-0033
I-2769,19881204-0033,completed,3.0,R_I-2769_19881204-0033
I-1405,19881204-0033,completed,3.0,R_I-1405_19881204-0033
I-3079,19890416-0034,completed,5.0,R_I-3079_19890416-0034
I-1402,19890416-0034,completed,3.0,R_I-1402_19890416-0034
I-3081,19890416-0034,completed,4.0,R_I-3081_19890416-0034
I-879,19890416-0034,completed,4.0,R_I-879_19890416-0034
I-2366,19890416-0034,completed,5.0,R_I-2366_19890416-0034
I-4236,19890416-0034,completed,3.0,R_I-4236_19890416-0034
I-5186,19890416-0034,completed,3.0,R_I-5186_19890416-0034
I-2566,19890416-0034,completed,5.0,R_I-2566_19890416-0034
I-3295,19890416-0034,completed,4.0,R_I-3295_19890416-0034
I-3711,19890416-0034,completed,4.0,R_I-3711_19890416-0034
I-3297,19890416-0034,completed,5.0,R_I-3297_19890416-0034
I-691,19890416-0034,completed,3.0,R_I-691_19890416-0034
I-3364,19891011-0035,completed,5.0,R_I-3364_19891011-0035
I-317,19891011-0035,completed,3.0,R_I-317_19891011-0035
I-3365,19891011-0035,completed,3.0,R_I-3365_19891011-0035
I-3369,19891011-0035,completed,3.0,R_I-3369_19891011-0035
I-3169,19891011-0035,completed,4.0,R_I-3169_19891011-0035
I-3790,19891011-0035,completed,4.0,R_I-3790_19891011-0035
I-1287,19891011-0035,completed,5.0,R_I-1287_19891011-0035
I-1597,19891011-0035,completed,5.0,R_I-1597_19891011-0035
I-2756,19890927-0036,completed,3.0,R_I-2756_19890927-0036
I-2550,19890927-0036,completed,5.0,R_I-2550_19890927-0036
I-2026,19890927-0036,completed,4.0,R_I-2026_19890927-0036
I-3072,19890927-0036,completed,4.0,R_I-3072_19890927-0036
I-5277,19890927-0036,completed,5.0,R_I-5277_19890927-0036
I-2245,19890927-0036,completed,5.0,R_I-2245_19890927-0036
I-4964,19890927-0036,completed,3.0,R_I-4964_19890927-0036
I-3179,19890927-0036,completed,5.0,R_I-3179_19890927-0036
I-3176,19890927-0036,completed,3.0,R_I-3176_19890927-0036
I-1712,19890927-0036,completed,5.0,R_I-1712_19890927-0036
I-1294,19890927-0036,completed,5.0,R_I-1294_19890927-0036
I-4639,19890927-0036,completed,5.0,R_I-4639_19890927-0036
I-3180,19890927-0036,completed,5.0,R_I-3180_19890927-0036
I-3184,19890927-0036,completed,3.0,R_I-3184_19890927-0036
I-3288,19890927-0036,completed,5.0,R_I-3288_19890927-0036
I-249,19890927-0036,completed,4.0,R_I-249_19890927-0036
I-2989,19890927-0036,completed,3.0,R_I-2989_19890927-0036
I-3291,19890927-0036,completed,3.0,R_I-3291_19890927-0036
I-1904,19870422-0037,completed,4.0,R_I-1904_19870422-0037
I-2013,19870422-0037,completed,4.0,R_I-2013_19870422-0037
I-1909,19870422-0037,completed,4.0,R_I-1909_19870422-0037
I-1906,19870422-0037,completed,5.0,R_I-1906_19870422-0037
I-756,19870422-0037,completed,3.0,R_I-756_19870422-0037
I-2646,19870422-0037,completed,4.0,R_I-2646_19870422-0037
I-4422,19870422-0037,completed,5.0,R_I-4422_19870422-0037
I-11,19870422-0037,completed,4.0,R_I-11_19870422-0037
I-2026,19870422-0037,completed,3.0,R_I-2026_19870422-0037
I-2878,19870422-0037,completed,4.0,R_I-2878_19870422-0037
I-5279,19870422-0037,completed,5.0,R_I-5279_19870422-0037
I-2139,19870422-0037,completed,4.0,R_I-2139_19870422-0037
I-3698,19870422-0037,completed,3.0,R_I-3698_19870422-0037
I-237,19881020-0039,completed,4.0,R_I-237_19881020-0039
I-666,19881020-0039,completed,3.0,R_I-666_19881020-0039
I-667,19881020-0039,completed,3.0,R_I-667_19881020-0039
I-2032,19881020-0039,completed,3.0,R_I-2032_19881020-0039
I-5072,19881020-0039,completed,5.0,R_I-5072_19881020-0039
I-247,19881020-0039,completed,5.0,R_I-247_19881020-0039
I-4761,19881020-0039,completed,5.0,R_I-4761_19881020-0039
I-783,19881020-0039,completed,5.0,R_I-783_19881020-0039
I-890,19881020-0039,completed,3.0,R_I-890_19881020-0039
I-4136,19881020-0039,completed,4.0,R_I-4136_19881020-0039
I-2786,19881020-0039,completed,4.0,R_I-2786_19881020-0039
I-893,19881020-0039,completed,3.0,R_I-893_19881020-0039
I-1291,19881216-0040,completed,3.0,R_I-1291_19881216-0040
I-4113,19881216-0040,completed,4.0,R_I-4113_19881216-0040
I-2770,19881216-0040,completed,5.0,R_I-2770_19881216-0040
I-4749,19881216-0040,completed,3.0,R_I-4749_19881216-0040
I-2776,19881216-0040,completed,3.0,R_I-2776_19881216-0040
I-4324,19881216-0040,completed,5.0,R_I-4324_19881216-0040
I-3907,19881216-0040,completed,4.0,R_I-3907_19881216-0040
I-5187,19881216-0040,completed,4.0,R_I-5187_19881216-0040
I-1415,19881216-0040,completed,4.0,R_I-1415_19881216-0040
I-1417,19881216-0040,completed,4.0,R_I-1417_19881216-0040
I-3291,19881216-0040,completed,5.0,R_I-3291_19881216-0040
I-1421,19881216-0040,completed,3.0,R_I-1421_19881216-0040
I-1420,19881216-0040,completed,4.0,R_I-1420_19881216-0040
I-1200,19881216-0040,completed,4.0,R_I-1200_19881216-0040
I-2873,19870720-0041,completed,3.0,R_I-2873_19870720-0041
I-2876,19870720-0041,completed,3.0,R_I-2876_19870720-0041
I-2874,19870720-0041,completed,4.0,R_I-2874_19870720-0041
I-557,19870720-0041,completed,4.0,R_I-557_19870720-0041
I-5065,19870720-0041,completed,3.0,R_I-5065_19870720-0041
I-2878,19870720-0041,completed,5.0,R_I-2878_19870720-0041
I-2882,19870720-0041,completed,5.0,R_I-2882_19870720-0041
I-978,19870720-0041,completed,5.0,R_I-978_19870720-0041
I-2879,19870720-0041,completed,5.0,R_I-2879_19870720-0041
I-2986,19870720-0041,completed,5.0,R_I-2986_19870720-0041
I-3495,19870720-0041,completed,4.0,R_I-3495_19870720-0041
I-2988,19870720-0041,completed,4.0,R_I-2988_19870720-0041
I-3293,19870720-0041,completed,4.0,R_I-3293_19870720-0041
I-5043,19880818-0043,completed,4.0,R_I-5043_19880818-0043
I-3160,19880818-0043,completed,3.0,R_I-3160_19880818-0043
I-5045,19880818-0043,completed,5.0,R_I-5045_19880818-0043
I-5051,19880818-0043,completed,5.0,R_I-5051_19880818-0043
I-2441,19880818-0043,completed,4.0,R_I-2441_19880818-0043
I-2969,19880818-0043,completed,5.0,R_I-2969_19880818-0043
I-5165,19880818-0043,completed,4.0,R_I-5165_19880818-0043
I-3784,19880818-0043,completed,4.0,R_I-3784_19880818-0043
I-325,19880204-0045,completed,4.0,R_I-325_19880204-0045
I-2341,19880204-0045,completed,5.0,R_I-2341_19880204-0045
I-867,19880204-0045,completed,3.0,R_I-867_19880204-0045
I-5489,19880204-0045,completed,5.0,R_I-5489_19880204-0045
I-25,19880204-0045,completed,5.0,R_I-25_19880204-0045
I-442,19880204-0045,completed,4.0,R_I-442_19880204-0045
I-443,19880204-0045,completed,5.0,R_I-443_19880204-0045
I-444,19880204-0045,completed,3.0,R_I-444_19880204-0045
I-885,19880204-0045,completed,3.0,R_I-885_19880204-0045
I-3393,19880204-0045,completed,5.0,R_I-3393_19880204-0045
I-2674,19880204-0045,completed,3.0,R_I-2674_19880204-0045
I-678,19880204-0045,completed,4.0,R_I-678_19880204-0045
I-2746,19880807-0046,completed,5.0,R_I-2746_19880807-0046
I-3570,19880807-0046,completed,5.0,R_I-3570_19880807-0046
I-1905,19880807-0046,completed,3.0,R_I-1905_19880807-0046
I-2749,19880807-0046,completed,5.0,R_I-2749_19880807-0046
I-3677,19890219-0047,completed,5.0,R_I-3677_19890219-0047
I-5152,19890219-0047,completed,5.0,R_I-5152_19890219-0047
I-2434,19890219-0047,completed,3.0,R_I-2434_19890219-0047
I-1274,19890219-0047,completed,5.0,R_I-1274_19890219-0047
I-2547,19890219-0047,completed,4.0,R_I-2547_19890219-0047
I-2548,19890219-0047,completed,5.0,R_I-2548_19890219-0047
I-4103,19890219-0047,completed,5.0,R_I-4103_19890219-0047
I-3071,19890219-0047,completed,4.0,R_I-3071_19890219-0047
I-4099,19870412-0048,completed,5.0,R_I-4099_19870412-0048
I-5044,19870412-0048,completed,5.0,R_I-5044_19870412-0048
I-643,19870412-0048,completed,3.0,R_I-643_19870412-0048
I-4098,19870412-0048,completed,3.0,R_I-4098_19870412-0048
I-3370,19870412-0048,completed,5.0,R_I-3370_19870412-0048
I-644,19870412-0048,completed,4.0,R_I-644_19870412-0048
I-647,19870412-0048,completed,5.0,R_I-647_19870412-0048
I-755,19870412-0048,completed,4.0,R_I-755_19870412-0048
I-2333,19870412-0048,completed,4.0,R_I-2333_19870412-0048
I-646,19870412-0048,completed,5.0,R_I-646_19870412-0048
I-758,19870412-0048,completed,4.0,R_I-758_19870412-0048
I-762,19870412-0048,completed,5.0,R_I-762_19870412-0048
I-2135,19870412-0048,completed,3.0,R_I-2135_19870412-0048
I-127,19870412-0048,completed,5.0,R_I-127_19870412-0048
I-134,19870412-0048,completed,4.0,R_I-134_19870412-0048
I-3080,19870412-0048,completed,4.0,R_I-3080_19870412-0048
I-879,19870412-0048,completed,5.0,R_I-879_19870412-0048
I-874,19870412-0048,completed,5.0,R_I-874_19870412-0048
I-873,19870412-0048,completed,3.0,R_I-873_19870412-0048
I-5273,19870412-0048,completed,3.0,R_I-5273_19870412-0048
I-3689,19870412-0048,completed,4.0,R_I-3689_19870412-0048
I-669,19870412-0048,completed,4.0,R_I-669_19870412-0048
I-3277,19870412-0048,completed,3.0,R_I-3277_19870412-0048
I-872,19870412-0048,completed,5.0,R_I-872_19870412-0048
I-11,19860119-0049,completed,4.0,R_I-11_19860119-0049
I-12,19860119-0049,completed,5.0,R_I-12_19860119-0049
I-331,19860119-0049,completed,5.0,R_I-331_19860119-0049
I-15,19860119-0049,completed,5.0,R_I-15_19860119-0049
I-130,19860119-0049,completed,4.0,R_I-130_19860119-0049
I-5388,19860119-0049,completed,3.0,R_I-5388_19860119-0049
I-1511,19860119-0049,completed,4.0,R_I-1511_19860119-0049
I-768,19860119-0049,completed,3.0,R_I-768_19860119-0049
I-4542,19860119-0049,completed,4.0,R_I-4542_19860119-0049
I-248,19860119-0049,completed,3.0,R_I-248_19860119-0049
I-560,19860119-0049,completed,3.0,R_I-560_19860119-0049
I-3187,19860119-0049,completed,4.0,R_I-3187_19860119-0049
I-2034,19880522-0050,completed,5.0,R_I-2034_19880522-0050
I-4122,19880522-0050,completed,5.0,R_I-4122_19880522-0050
I-2249,19880522-0050,completed,5.0,R_I-2249_19880522-0050
I-3590,19880522-0050,completed,4.0,R_I-3590_19880522-0050
I-345,19880522-0050,completed,3.0,R_I-345_19880522-0050
I-247,19880522-0050,completed,3.0,R_I-247_19880522-0050
I-1422,19880522-0050,completed,5.0,R_I-1422_19880522-0050
I-4761,19880522-0050,completed,5.0,R_I-4761_19880522-0050
I-2055,19880522-0050,completed,5.0,R_I-2055_19880522-0050
I-891,19880522-0050,completed,3.0,R_I-891_19880522-0050
I-3917,19880522-0050,completed,3.0,R_I-3917_19880522-0050
I-51,19880522-0050,completed,4.0,R_I-51_19880522-0050
I-959,19851109-0051,completed,3.0,R_I-959_19851109-0051
I-2337,19851109-0051,completed,3.0,R_I-2337_19851109-0051
I-2434,19851109-0051,completed,5.0,R_I-2434_19851109-0051
I-1067,19851109-0051,completed,4.0,R_I-1067_19851109-0051
I-2547,19851109-0051,completed,3.0,R_I-2547_19851109-0051
I-2548,19851109-0051,completed,3.0,R_I-2548_19851109-0051
I-4103,19851109-0051,completed,5.0,R_I-4103_19851109-0051
I-2550,19851109-0051,completed,4.0,R_I-2550_19851109-0051
I-1700,19890611-0052,completed,3.0,R_I-1700_19890611-0052
I-1701,19890611-0052,completed,5.0,R_I-1701_19890611-0052
I-1704,19890611-0052,completed,5.0,R_I-1704_19890611-0052
I-3269,19890611-0052,completed,3.0,R_I-3269_19890611-0052
I-2026,19890611-0052,completed,5.0,R_I-2026_19890611-0052
I-1396,19890611-0052,completed,3.0,R_I-1396_19890611-0052
I-3076,19890611-0052,completed,5.0,R_I-3076_19890611-0052
I-2868,19890611-0052,completed,4.0,R_I-2868_19890611-0052
I-1811,19890611-0052,completed,3.0,R_I-1811_19890611-0052
I-4860,19890611-0052,completed,3.0,R_I-4860_19890611-0052
I-1814,19890611-0052,completed,4.0,R_I-1814_19890611-0052
I-1813,19890611-0052,completed,4.0,R_I-1813_19890611-0052
I-1815,19890611-0052,completed,3.0,R_I-1815_19890611-0052
I-2449,19890611-0052,completed,3.0,R_I-2449_19890611-0052
I-5380,19890611-0052,completed,5.0,R_I-5380_19890611-0052
I-2979,19890611-0052,completed,5.0,R_I-2979_19890611-0052
I-4936,19870427-0056,completed,4.0,R_I-4936_19870427-0056
I-2861,19870427-0056,completed,4.0,R_I-2861_19870427-0056
I-219,19870427-0056,completed,3.0,R_I-219_19870427-0056
I-5261,19870427-0056,completed,3.0,R_I-5261_19870427-0056
I-4525,19870427-0056,completed,3.0,R_I-4525_19870427-0056
I-2021,19870427-0056,completed,5.0,R_I-2021_19870427-0056
I-662,19870427-0056,completed,5.0,R_I-662_19870427-0056
I-4311,19870427-0056,completed,3.0,R_I-4311_19870427-0056
